"Timestamp","Value","CPU freq","Memory freq"
0.011900,2.375255,700,200
0.023821,2.487261,700,200
0.035740,2.500810,700,200
0.047661,2.501469,700,200
0.059580,2.496004,700,200
0.071501,2.503981,700,200
0.083420,2.495277,700,200
0.095341,2.505061,700,200
0.107260,2.499433,700,200
0.119181,2.505873,700,200
0.131100,2.493680,700,200
0.143021,2.507108,700,200
0.154940,2.498814,700,200
0.166861,2.508879,700,200
0.178780,2.494554,700,200
0.190701,2.504220,700,200
0.202620,2.514395,700,200
0.214540,2.497208,700,200
0.226460,2.506697,700,200
0.238380,2.497833,700,200
0.250299,2.504613,700,200
0.262220,2.500809,700,200
0.274141,2.503700,700,200
0.286060,2.499188,700,200
0.297981,2.501620,700,200
0.309900,2.507288,700,200
0.321821,2.503784,700,200
0.333740,2.501525,700,200
0.345661,2.503873,700,200
0.357580,2.500327,700,200
0.369501,2.504828,700,200
0.381420,2.508483,700,200
0.393341,2.493916,700,200
0.405260,2.516189,700,200
0.417181,2.496198,700,200
0.429100,2.507091,700,200
0.441021,2.495923,700,200
0.452940,2.506200,700,200
0.464861,2.495229,700,200
0.476780,2.511381,700,200
0.488701,2.496642,700,200
0.500620,2.505812,700,200
0.512541,2.504716,700,200
0.524460,2.502345,700,200
0.536381,2.507949,700,200
0.548300,2.493417,700,200
0.560221,2.507939,700,200
0.572140,2.494423,700,200
0.584061,2.505222,700,200
0.595980,2.494451,700,200
0.607901,2.512356,700,200
0.619820,2.497684,700,200
0.631741,2.506849,700,200
0.643660,2.492152,700,200
0.655581,2.510574,700,200
0.667500,2.493634,700,200
0.679420,2.516732,700,200
0.691339,2.500226,700,200
0.703260,2.500942,700,200
0.715179,2.505809,700,200
0.727100,2.499251,700,200
0.739021,2.501939,700,200
0.750940,2.499357,700,200
0.762861,2.503116,700,200
0.774780,2.488929,700,200
0.786701,2.494879,700,200
0.798620,2.488760,700,200
0.810541,2.499484,700,200
0.822460,2.489286,700,200
0.834381,2.494361,700,200
0.846300,2.489295,700,200
0.858221,2.490512,700,200
0.870140,2.496842,700,200
0.882061,2.498315,700,200
0.893980,2.503681,700,200
0.905901,2.501235,700,200
0.917820,2.509688,700,200
0.929741,2.500651,700,200
0.941660,2.510731,700,200
0.953581,2.500710,700,200
0.965500,2.503747,700,200
0.977421,2.503153,700,200
0.989340,2.504623,700,200
1.001261,2.499975,700,200
1.013180,2.506064,700,200
1.025101,2.507169,700,200
1.037020,2.498184,700,200
1.048941,2.508416,700,200
1.060860,2.492808,700,200
1.072781,2.508656,700,200
1.084700,2.493000,700,200
1.096621,2.509643,700,200
1.108540,2.493157,700,200
1.120461,2.515016,700,200
1.132380,2.493466,700,200
1.144300,2.509606,700,200
1.156219,2.493208,700,200
1.168140,2.511248,700,200
1.180059,2.500819,700,200
1.191980,2.503895,700,200
1.203901,2.526466,700,200
1.215820,2.507815,700,200
1.227741,2.511587,700,200
1.239660,2.499108,700,200
1.251581,2.506986,700,200
1.263500,2.497737,700,200
1.275421,2.507278,700,200
1.287340,2.499814,700,200
1.299261,2.510715,700,200
1.311180,2.497559,700,200
1.323101,2.513204,700,200
1.335020,2.504173,700,200
1.346941,2.500852,700,200
1.358860,2.507967,700,200
1.370781,2.498523,700,200
1.382700,2.507633,700,200
1.394621,2.503953,700,200
1.406540,2.506361,700,200
1.418461,2.513561,700,200
1.430380,2.498453,700,200
1.442301,2.506646,700,200
1.454220,2.498864,700,200
1.466141,2.506712,700,200
1.478060,2.506722,700,200
1.489981,2.493359,700,200
1.501900,2.509564,700,200
1.513821,2.498426,700,200
1.525740,2.511419,700,200
1.537661,2.497954,700,200
1.549580,2.506008,700,200
1.561501,2.496850,700,200
1.573420,2.503843,700,200
1.585340,2.495884,700,200
1.597260,2.490827,700,200
1.609180,2.493883,700,200
1.621099,2.496044,700,200
1.633020,2.498858,700,200
1.644939,2.484525,700,200
1.656860,2.494362,700,200
1.668781,2.486040,700,200
1.680700,2.498549,700,200
1.692621,2.495474,700,200
1.704540,2.507009,700,200
1.716461,2.495205,700,200
1.728380,2.508469,700,200
1.740301,2.494298,700,200
1.752220,2.505273,700,200
1.764141,2.497119,700,200
1.776060,2.498563,700,200
1.787981,2.491203,700,200
1.799900,2.503785,700,200
1.811821,2.496297,700,200
1.823740,2.492098,700,200
1.835661,2.494159,700,200
1.847580,2.486167,700,200
1.859501,2.493912,700,200
1.871420,2.489784,700,200
1.883341,2.495097,700,200
1.895260,2.493230,700,200
1.907181,2.505678,700,200
1.919100,2.498178,700,200
1.931021,2.511230,700,200
1.942940,2.498519,700,200
1.954861,2.505892,700,200
1.966780,2.508140,700,200
1.978701,2.497520,700,200
1.990620,2.510241,700,200
2.002541,2.497028,700,200
2.014460,2.506145,700,200
2.026381,2.502055,700,200
2.038300,2.508682,700,200
2.050220,2.494232,700,200
2.062140,2.514529,700,200
2.074060,2.494168,700,200
2.085979,2.516150,700,200
2.097900,2.493014,700,200
2.109821,2.513866,700,200
2.121740,2.493171,700,200
2.133661,2.518697,700,200
2.145580,2.501615,700,200
2.157501,2.503837,700,200
2.169420,2.501968,700,200
2.181341,2.504004,700,200
2.193260,2.503078,700,200
2.205181,2.496844,700,200
2.217100,2.503332,700,200
2.229021,2.500161,700,200
2.240940,2.509242,700,200
2.252861,2.498998,700,200
2.264780,2.504703,700,200
2.276701,2.496751,700,200
2.288620,2.505836,700,200
2.300541,2.504189,700,200
2.312460,2.499040,700,200
2.324381,2.504532,700,200
2.336300,2.504517,700,200
2.348221,2.504784,700,200
2.360140,2.497541,700,200
2.372061,2.504737,700,200
2.383980,2.500997,700,200
2.395901,2.506399,700,200
2.407820,2.497561,700,200
2.419741,2.505649,700,200
2.431660,2.501662,700,200
2.443581,2.507970,700,200
2.455500,2.506904,700,200
2.467421,2.496866,700,200
2.479340,2.504795,700,200
2.491261,2.497652,700,200
2.503180,2.505737,700,200
2.515100,2.501201,700,200
2.527020,2.507206,700,200
2.538940,2.503132,700,200
2.550859,2.503955,700,200
2.562780,2.500418,700,200
2.574701,2.506578,700,200
2.586620,2.494749,700,200
2.598541,2.511998,700,200
2.610460,2.500695,700,200
2.622381,2.504608,700,200
2.634300,2.503989,700,200
2.646221,2.507244,700,200
2.658140,2.501014,700,200
2.670061,2.501070,700,200
2.681980,2.503244,700,200
2.693901,2.503909,700,200
2.705820,2.497618,700,200
2.717741,2.507524,700,200
2.729660,2.495368,700,200
2.741581,2.516210,700,200
2.753500,2.493979,700,200
2.765421,2.511085,700,200
2.777340,2.501680,700,200
2.789261,2.502461,700,200
2.801180,2.502541,700,200
