"Timestamp","Value","CPU freq","Memory freq"
0.011360,2.491964,900,200
0.022739,2.661160,900,200
0.034122,2.662052,900,200
0.045502,2.676555,900,200
0.056881,2.665901,900,200
0.068260,2.673985,900,200
0.079639,2.659618,900,200
0.091022,2.679842,900,200
0.102402,2.676921,900,200
0.113781,2.677626,900,200
0.125160,2.678857,900,200
0.136539,2.668359,900,200
0.147923,2.669940,900,200
0.159302,2.677486,900,200
0.170681,2.678655,900,200
0.182060,2.662833,900,200
0.193439,2.679862,900,200
0.204823,2.664799,900,200
0.216202,2.683147,900,200
0.227581,2.672981,900,200
0.238960,2.679007,900,200
0.250340,2.659661,900,200
0.261723,2.674159,900,200
0.273102,2.673946,900,200
0.284481,2.671137,900,200
0.295860,2.661583,900,200
0.307240,2.673161,900,200
0.318623,2.684660,900,200
0.330002,2.687852,900,200
0.341381,2.661222,900,200
0.352760,2.671239,900,200
0.364140,2.667310,900,200
0.375523,2.708246,900,200
0.386902,2.663432,900,200
0.398281,2.686747,900,200
0.409660,2.673525,900,200
0.421040,2.684636,900,200
0.432423,2.672304,900,200
0.443802,2.681921,900,200
0.455181,2.660746,900,200
0.466560,2.691595,900,200
0.477940,2.662203,900,200
0.489323,2.674331,900,200
0.500702,2.669419,900,200
0.512081,2.673673,900,200
0.523460,2.663199,900,200
0.534840,2.670539,900,200
0.546223,2.658254,900,200
0.557602,2.673779,900,200
0.568981,2.655658,900,200
0.580360,2.666198,900,200
0.591740,2.655539,900,200
0.603123,2.671838,900,200
0.614502,2.651684,900,200
0.625881,2.669322,900,200
0.637260,2.681565,900,200
0.648640,2.668508,900,200
0.660023,2.665895,900,200
0.671402,2.675328,900,200
0.682781,2.665351,900,200
0.694160,2.674635,900,200
0.705540,2.660027,900,200
0.716923,2.668189,900,200
0.728302,2.674321,900,200
0.739681,2.671982,900,200
0.751060,2.672078,900,200
0.762440,2.679907,900,200
0.773823,2.692215,900,200
0.785202,2.662697,900,200
0.796581,2.663692,900,200
0.807961,2.685843,900,200
0.819340,2.675829,900,200
0.830723,2.666257,900,200
0.842102,2.674934,900,200
0.853481,2.667366,900,200
0.864861,2.673795,900,200
0.876240,2.664988,900,200
0.887623,2.693069,900,200
0.899002,2.680528,900,200
0.910381,2.687989,900,200
0.921761,2.665853,900,200
0.933140,2.686789,900,200
0.944523,2.660475,900,200
0.955902,2.678364,900,200
0.967281,2.678972,900,200
0.978661,2.677162,900,200
0.990040,2.654521,900,200
1.001423,2.678769,900,200
1.012802,2.659458,900,200
1.024181,2.676252,900,200
1.035561,2.685068,900,200
1.046940,2.686951,900,200
1.058323,2.665687,900,200
1.069702,2.682535,900,200
1.081081,2.667777,900,200
1.092461,2.681172,900,200
1.103840,2.676324,900,200
1.115223,2.672615,900,200
1.126602,2.664266,900,200
1.137981,2.680771,900,200
1.149361,2.667214,900,200
1.160740,2.685828,900,200
1.172123,2.686328,900,200
1.183502,2.651582,900,200
1.194881,2.689528,900,200
1.206261,2.671750,900,200
1.217640,2.672084,900,200
1.229023,2.662427,900,200
1.240402,2.690689,900,200
1.251781,2.672828,900,200
1.263161,2.674132,900,200
1.274540,2.665255,900,200
1.285923,2.697860,900,200
1.297302,2.665871,900,200
1.308681,2.681171,900,200
1.320061,2.673757,900,200
1.331440,2.678630,900,200
1.342823,2.674861,900,200
1.354202,2.675116,900,200
1.365582,2.654760,900,200
1.376961,2.677551,900,200
1.388340,2.657273,900,200
1.399723,2.680869,900,200
1.411102,2.666439,900,200
1.422482,2.692785,900,200
