"Value","CPU freq","Memory freq"
0.011549232292973995 600 200
0.011067833755456077 600 300
0.010777456593171756 600 400
0.010844128428224723 600 500
0.010188890861271487 700 200
0.0096676513744831088 700 300
0.0094054102299981658 700 400
0.0093693444461570852 700 500
0.0092113629761033603 800 200
0.0087064609025941965 800 300
0.0084432453271018146 800 400
0.0084138038919925693 800 500
0.0084991810664388871 900 200
0.0079927830238435017 900 300
0.0076962290051221854 900 400
0.007672174003989167 900 500
0.0079576525995307505 1000 200
0.0074823439120809245 1000 300
0.0071703209407210358 1000 400
0.0071167778063257539 1000 500
0.0075435451960364983 1100 200
0.0069998571334256073 1100 300
0.0067617823286785029 1100 400
0.0067415903776950311 1100 500
0.0071733852446953465 1200 200
0.0066502498133858053 1200 300
0.0064189627322912219 1200 400
0.0064408429383397111 1200 500
0.0076701065784507329 1300 200
0.0069549775506575909 1300 300
0.0066478143061955777 1300 400
0.0065932699961953698 1300 500
0.0073245913611438545 1400 200
0.0066818937531563979 1400 300
0.0063785236936489747 1400 400
0.0063742439993977554 1400 500
