"Value","CPU freq","Memory freq"
0.0091176337932825091 600 200
0.0087292308512171117 600 300
0.0086023798393249518 600 400
0.0086139049988230073 600 500
0.0082876390921049654 700 200
0.0078917787008219303 700 300
0.0077361473260256983 700 400
0.0077549014040456882 700 500
0.0076967507409996458 800 200
0.0072666967702017899 800 300
0.0071158609988967586 800 400
0.0071245720029327608 800 500
0.0072011181086328296 900 200
0.0067788168864634304 900 300
0.0066283878166940478 900 400
0.0066287922739479282 900 500
0.0068398044886271167 1000 200
0.006389627624471983 1000 300
0.0062448931930383055 1000 400
0.00622525683571895 1000 500
0.0065535692952447475 1100 200
0.006062272791438633 1100 300
0.0059289329080700875 1100 400
0.0059122976918472188 1100 500
0.0063070401628984351 1200 200
0.0058283582087675732 1200 300
0.0056699219822247829 1200 400
0.0056486013504756828 1200 500
0.006610611773516073 1300 200
0.0060939814158254202 1300 300
0.0059308285477929646 1300 400
0.0059065830798970334 1300 500
0.0091176337932825091 1400 200
0.0059213668636653163 1400 300
0.0057544865467521883 1400 400
0.0057308137887491124 1400 500
