"Value","CPU freq","Memory freq"
0.0090756081306179372 600 200
0.0087083775212672028 600 300
0.008533326278171275 600 400
0.0085223982567760679 600 500
0.0082663440952327524 700 200
0.0078794547282232189 700 300
0.0077122596362299393 700 400
0.0076737277963081999 700 500
0.0076756300745897833 800 200
0.0072720786600603002 800 300
0.0070862102090438212 800 400
0.0070628865475058557 800 500
0.0071822657157805236 900 200
0.0067652448485705594 900 300
0.0065962085284431782 900 400
0.0065588365366948979 900 500
0.0068112828604102137 1000 200
0.0063754534280286903 1000 300
0.0062101894017895067 1000 400
0.0061590826573756008 1000 500
0.0065002497351606689 1100 200
0.0060566388348407222 1100 300
0.0058965953412559299 1100 400
0.005864954016257657 1100 500
0.0062596193819363915 1200 200
0.0058394724303947555 1200 300
0.0056586331506821852 1200 400
0.0056089860062612431 1200 500
0.006556837091271083 1300 200
0.0060997185264865562 1300 300
0.0058782454055613942 1300 400
0.0058424645762642224 1300 500
0.0064085303547634026 1400 200
0.0059273720230248244 1400 300
0.005702145118727949 1400 400
0.0056526539665857954 1400 500
