"Value","CPU freq","Memory freq"
0.011524165363042885 600 200
0.010836908234753874 600 300
0.010746902537779015 600 400
0.010725392768135337 600 500
0.01016918675135639 700 200
0.0094868224252502124 700 300
0.0093429703001168037 700 400
0.0093161547979235659 700 500
0.0091805471567087717 800 200
0.0085775503070274987 800 300
0.0083744420125974554 800 400
0.0083151259748299924 800 500
0.0085011402970274295 900 200
0.0077969651872899799 900 300
0.0076209091975251841 900 400
0.0076373419456667374 900 500
0.0079280124506168909 1000 200
0.0073133300864908438 1000 300
0.0070839611026499013 1000 400
0.0070843683936185316 1000 500
0.007508367541453574 1100 200
0.0068685676164309192 1100 300
0.0066724638496531386 1100 400
0.0066134621437999941 1100 500
0.0072191672405375381 1200 200
0.0065231120196037823 1200 300
0.0063471978124168184 1200 400
0.0063299584617217382 1200 500
0.0075451188986712034 1300 200
0.0068423004593862434 1300 300
0.0065370882102476231 1300 400
0.0065205228371938073 1300 500
0.0073663630043559608 1400 200
0.006555721891919772 1400 300
0.0062939181277169125 1400 400
0.0062593771621015344 1400 500
