"Timestamp","Value","CPU freq","Memory freq"
0.008682,2.988013,1300,200
0.017380,3.421420,1300,200
0.026085,3.438445,1300,200
0.034782,3.448856,1300,200
0.043480,3.456075,1300,200
0.052185,3.454780,1300,200
0.060883,3.460840,1300,200
0.069580,3.446010,1300,200
0.078285,3.469019,1300,200
0.086983,3.420029,1300,200
0.095680,3.423956,1300,200
0.104385,3.435772,1300,200
0.113083,3.427588,1300,200
0.121780,3.453233,1300,200
0.130486,3.442220,1300,200
0.139183,3.429314,1300,200
0.147881,3.426279,1300,200
0.156586,3.452946,1300,200
0.165283,3.428459,1300,200
0.173981,3.460721,1300,200
0.182686,3.454131,1300,200
0.191383,3.438567,1300,200
0.200081,3.429839,1300,200
0.208786,3.330752,1300,200
0.217484,3.425765,1300,200
0.226181,3.213084,1300,200
0.234879,3.468481,1300,200
0.243584,3.106135,1300,200
0.252281,3.439555,1300,200
0.260979,3.235445,1300,200
0.269684,3.302355,1300,200
0.278381,3.270540,1300,200
0.287079,3.253722,1300,200
0.295784,3.376566,1300,200
0.304482,3.126298,1300,200
0.313179,3.446100,1300,200
0.321884,3.105839,1300,200
0.330582,3.416966,1300,200
0.339279,3.281750,1300,200
0.347984,3.250633,1300,200
0.356682,3.396690,1300,200
0.365379,3.123897,1300,200
0.374084,3.133537,1300,200
0.382782,3.150020,1300,200
0.391479,3.158130,1300,200
0.400185,3.152989,1300,200
0.408882,3.142934,1300,200
0.417580,3.145601,1300,200
0.426285,3.167703,1300,200
0.434982,3.216706,1300,200
0.443680,3.166929,1300,200
0.452385,3.167220,1300,200
0.461082,3.138026,1300,200
0.469780,3.191986,1300,200
0.478485,3.154162,1300,200
0.487183,3.148972,1300,200
0.495880,3.161274,1300,200
0.504585,3.133430,1300,200
0.513283,3.168665,1300,200
0.521980,3.143465,1300,200
0.530685,3.127762,1300,200
0.539383,3.158472,1300,200
0.548080,3.138520,1300,200
0.556786,3.151054,1300,200
0.565483,3.140350,1300,200
0.574181,3.147167,1300,200
0.582886,3.138112,1300,200
0.591583,3.137256,1300,200
0.600281,3.146870,1300,200
0.608986,3.162024,1300,200
0.617683,3.168515,1300,200
0.626381,3.166443,1300,200
0.635078,3.152759,1300,200
0.643784,3.153847,1300,200
0.652481,3.151272,1300,200
0.661179,3.175318,1300,200
0.669884,3.174535,1300,200
0.678581,3.147162,1300,200
0.687279,3.149733,1300,200
0.695984,3.144413,1300,200
0.704681,3.149408,1300,200
0.713379,3.169091,1300,200
0.722084,3.140716,1300,200
0.730782,3.141042,1300,200
0.739479,3.184294,1300,200
0.748184,3.146155,1300,200
0.756882,3.160435,1300,200
0.765579,3.181411,1300,200
0.774284,3.162465,1300,200
0.782982,3.158393,1300,200
0.791679,3.147477,1300,200
0.800385,3.155580,1300,200
0.809082,3.139800,1300,200
0.817780,3.163263,1300,200
0.826485,3.157743,1300,200
0.835182,3.160580,1300,200
0.843880,3.172945,1300,200
0.852585,3.141612,1300,200
0.861282,3.136265,1300,200
0.869980,3.173260,1300,200
0.878685,3.161017,1300,200
0.887383,3.174972,1300,200
0.896080,3.152969,1300,200
0.904785,3.149078,1300,200
0.913483,3.151097,1300,200
0.922180,3.156100,1300,200
0.930885,3.148860,1300,200
0.939583,3.164638,1300,200
0.948280,3.140373,1300,200
0.956985,3.158437,1300,200
0.965683,3.150852,1300,200
0.974380,3.150432,1300,200
0.983086,3.156023,1300,200
0.991783,3.162292,1300,200
1.000481,3.142104,1300,200
1.009186,3.147872,1300,200
1.017883,3.154406,1300,200
1.026581,3.160554,1300,200
1.035286,3.163819,1300,200
1.043983,3.175462,1300,200
1.052681,3.147684,1300,200
1.061378,3.149909,1300,200
1.070084,3.161372,1300,200
1.078781,3.152489,1300,200
1.087479,3.159759,1300,200
