"Timestamp","Value","CPU freq","Memory freq"
0.010201,2.506617,900,400
0.020420,2.672766,900,400
0.030643,2.708038,900,400
0.040863,2.694056,900,400
0.051083,2.719299,900,400
0.061302,2.703024,900,400
0.071522,2.717709,900,400
0.081741,2.714125,900,400
0.091961,2.714601,900,400
0.102180,2.718693,900,400
0.112400,2.707414,900,400
0.122623,2.688353,900,400
0.132843,2.702417,900,400
0.143063,2.680895,900,400
0.153282,2.702431,900,400
0.163502,2.681493,900,400
0.173721,2.698493,900,400
0.183941,2.687732,900,400
0.194160,2.695330,900,400
0.204380,2.690575,900,400
0.214603,2.724488,900,400
0.224823,2.705018,900,400
0.235043,2.714926,900,400
0.245262,2.703425,900,400
0.255482,2.710072,900,400
0.265701,2.695711,900,400
0.275921,2.711026,900,400
0.286140,2.694181,900,400
0.296360,2.712507,900,400
0.306583,2.717342,900,400
0.316803,2.692765,900,400
0.327023,2.705617,900,400
0.337242,2.691542,900,400
0.347462,2.696787,900,400
0.357681,2.686982,900,400
0.367901,2.696825,900,400
0.378120,2.697774,900,400
0.388340,2.699036,900,400
0.398563,2.696722,900,400
0.408783,2.701164,900,400
0.419003,2.693733,900,400
0.429222,2.709900,900,400
0.439442,2.709850,900,400
0.449661,2.713893,900,400
0.459881,2.712448,900,400
0.470100,2.705527,900,400
0.480320,2.708749,900,400
0.490543,2.710120,900,400
0.500763,2.721814,900,400
0.510983,2.693485,900,400
0.521202,2.716417,900,400
0.531422,2.690849,900,400
0.541641,2.714062,900,400
0.551861,2.706764,900,400
0.562080,2.702158,900,400
0.572300,2.710838,900,400
0.582523,2.702468,900,400
0.592743,2.720053,900,400
0.602962,2.697870,900,400
0.613182,2.730170,900,400
0.623402,2.699874,900,400
0.633621,2.719630,900,400
0.643841,2.703250,900,400
0.654060,2.723141,900,400
0.664280,2.701810,900,400
0.674503,2.712855,900,400
0.684723,2.705551,900,400
0.694942,2.715883,900,400
0.705162,2.709766,900,400
0.715382,2.710405,900,400
0.725601,2.694287,900,400
0.735821,2.702721,900,400
0.746040,2.696111,900,400
0.756260,2.677934,900,400
0.766483,2.690727,900,400
0.776703,2.702262,900,400
0.786922,2.690219,900,400
0.797142,2.707590,900,400
0.807362,2.682046,900,400
0.817581,2.701135,900,400
0.827801,2.692391,900,400
0.838020,2.730646,900,400
0.848240,2.711766,900,400
0.858463,2.705051,900,400
0.868683,2.709457,900,400
0.878902,2.698908,900,400
0.889122,2.713281,900,400
0.899342,2.704880,900,400
0.909561,2.751705,900,400
0.919781,2.717923,900,400
0.930000,2.689585,900,400
0.940220,2.699957,900,400
0.950443,2.677656,900,400
0.960663,2.709493,900,400
0.970882,2.705965,900,400
0.981102,2.691732,900,400
0.991322,2.704897,900,400
1.001541,2.709272,900,400
1.011761,2.697952,900,400
1.021980,2.692030,900,400
1.032200,2.709496,900,400
1.042423,2.702565,900,400
1.052643,2.708315,900,400
1.062862,2.698808,900,400
1.073082,2.709810,900,400
1.083302,2.701622,900,400
1.093521,2.703779,900,400
1.103741,2.730067,900,400
1.113960,2.723396,900,400
1.124180,2.712342,900,400
1.134403,2.691432,900,400
1.144623,2.698274,900,400
1.154842,2.692050,900,400
1.165062,2.700649,900,400
1.175282,2.684545,900,400
1.185501,2.705979,900,400
1.195721,2.689261,900,400
1.205940,2.701721,900,400
1.216160,2.701699,900,400
1.226383,2.699957,900,400
1.236603,2.702533,900,400
1.246822,2.706304,900,400
1.257042,2.720418,900,400
1.267262,2.711760,900,400
1.277481,2.716044,900,400
1.287701,2.696281,900,400
1.297920,2.721170,900,400
1.308140,2.709757,900,400
1.318363,2.706427,900,400
1.328583,2.716556,900,400
1.338802,2.709180,900,400
1.349022,2.705992,900,400
