"Timestamp","Value","CPU freq","Memory freq"
0.000000,3.101902,1400,200
0.000015,3.082507,1400,200
0.000038,3.096521,1400,200
0.000053,3.095923,1400,200
0.000076,3.081062,1400,200
0.000099,3.022087,1400,200
0.000114,2.992874,1400,200
0.000137,2.943805,1400,200
0.000160,2.780080,1400,200
0.000175,2.623974,1400,200
0.000198,2.539566,1400,200
0.000214,2.485262,1400,200
0.000237,2.442392,1400,200
0.000259,2.412481,1400,200
0.000275,2.394067,1400,200
0.000298,2.380084,1400,200
0.000320,2.390443,1400,200
0.000336,2.432313,1400,200
0.000359,2.406476,1400,200
0.000374,2.386638,1400,200
0.000397,2.375563,1400,200
0.000420,2.366409,1400,200
0.000435,2.360172,1400,200
0.000458,2.375320,1400,200
0.000473,2.370751,1400,200
0.000496,2.364316,1400,200
0.000519,2.361262,1400,200
0.000534,2.358570,1400,200
0.000557,2.352315,1400,200
0.000580,2.369756,1400,200
0.000595,2.370857,1400,200
0.000618,2.363723,1400,200
0.000633,2.361580,1400,200
0.000656,2.358784,1400,200
0.000679,2.357004,1400,200
0.000694,2.366877,1400,200
0.000717,2.372409,1400,200
0.000740,2.364657,1400,200
0.000755,2.362145,1400,200
0.000778,2.358240,1400,200
0.000793,2.358197,1400,200
0.000816,2.357894,1400,200
0.000839,2.374195,1400,200
0.000854,2.367293,1400,200
0.000877,2.363100,1400,200
0.000900,2.359235,1400,200
0.000916,2.356741,1400,200
0.000938,2.353119,1400,200
0.000954,2.372210,1400,200
0.000977,2.366683,1400,200
