"Timestamp","Value","CPU freq","Memory freq"
0.011402,2.503777,900,200
0.022820,2.661387,900,200
0.034241,2.666180,900,200
0.045662,2.678032,900,200
0.057079,2.673797,900,200
0.068501,2.674476,900,200
0.079922,2.673151,900,200
0.091339,2.680124,900,200
0.102760,2.665392,900,200
0.114182,2.685590,900,200
0.125599,2.681390,900,200
0.137020,2.678967,900,200
0.148441,2.673173,900,200
0.159863,2.682794,900,200
0.171280,2.684174,900,200
0.182701,2.662701,900,200
0.194122,2.696468,900,200
0.205540,2.678041,900,200
0.216961,2.685170,900,200
0.228382,2.666850,900,200
0.239799,2.764192,900,200
0.251221,2.671745,900,200
0.262642,2.696611,900,200
0.274059,2.672926,900,200
0.285480,2.687585,900,200
0.296902,2.670254,900,200
0.308319,2.667580,900,200
0.319740,2.672506,900,200
0.331161,2.669902,900,200
0.342579,2.664287,900,200
0.354000,2.667813,900,200
0.365421,2.680182,900,200
0.376842,2.658109,900,200
0.388260,2.679229,900,200
0.399681,2.675409,900,200
0.411102,2.678279,900,200
0.422520,2.690298,900,200
0.433941,2.682659,900,200
0.445362,2.682571,900,200
0.456779,2.678793,900,200
0.468201,2.677303,900,200
0.479622,2.682050,900,200
0.491039,2.680374,900,200
0.502460,2.685422,900,200
0.513882,2.672243,900,200
0.525299,2.689669,900,200
0.536720,2.669523,900,200
0.548141,2.670154,900,200
0.559563,2.679135,900,200
0.570980,2.681532,900,200
0.582401,2.673209,900,200
0.593822,2.687783,900,200
0.605240,2.672052,900,200
0.616661,2.685693,900,200
0.628082,2.674745,900,200
0.639500,2.683409,900,200
0.650921,2.679127,900,200
0.662342,2.681587,900,200
0.673759,2.683419,900,200
0.685181,2.675667,900,200
0.696602,2.676049,900,200
0.708019,2.680793,900,200
0.719440,2.671774,900,200
0.730862,2.685438,900,200
0.742279,2.672764,900,200
0.753700,2.690460,900,200
0.765121,2.682507,900,200
0.776543,2.665814,900,200
0.787960,2.678360,900,200
0.799381,2.676023,900,200
0.810802,2.677154,900,200
0.822220,2.674849,900,200
0.833641,2.691104,900,200
0.845062,2.675848,900,200
0.856480,2.684581,900,200
0.867901,2.684308,900,200
0.879322,2.680363,900,200
0.890739,2.680207,900,200
0.902161,2.687598,900,200
0.913582,2.675919,900,200
0.924999,2.674826,900,200
0.936420,2.677988,900,200
0.947842,2.688330,900,200
0.959259,2.669423,900,200
0.970680,2.679844,900,200
0.982101,2.678353,900,200
0.993523,2.674918,900,200
1.004940,2.677685,900,200
1.016361,2.680390,900,200
1.027782,2.673235,900,200
1.039200,2.696849,900,200
1.050621,2.671585,900,200
1.062042,2.686507,900,200
1.073460,2.675811,900,200
1.084881,2.680519,900,200
1.096302,2.681583,900,200
1.107719,2.686082,900,200
1.119141,2.679535,900,200
1.130562,2.696284,900,200
1.141979,2.678712,900,200
1.153400,2.671360,900,200
1.164822,2.669635,900,200
1.176239,2.682931,900,200
1.187660,2.686662,900,200
1.199081,2.684849,900,200
1.210503,2.693977,900,200
1.221920,2.675273,900,200
1.233341,2.687380,900,200
1.244762,2.664535,900,200
1.256180,2.757472,900,200
1.267601,2.683721,900,200
1.279022,2.683202,900,200
1.290440,2.670876,900,200
1.301861,2.692780,900,200
1.313282,2.664691,900,200
1.324699,2.665274,900,200
1.336121,2.665187,900,200
1.347542,2.672482,900,200
1.358959,2.664645,900,200
1.370380,2.681021,900,200
1.381802,2.675080,900,200
1.393219,2.661413,900,200
1.404640,2.678375,900,200
1.416061,2.671333,900,200
1.427483,2.690337,900,200
1.438900,2.663882,900,200
1.450321,2.677482,900,200
1.461742,2.687649,900,200
1.473160,2.677005,900,200
1.484581,2.663824,900,200
1.496002,2.674967,900,200
1.507420,2.674378,900,200
1.518841,2.684592,900,200
1.530262,2.687238,900,200
1.541679,2.682695,900,200
1.553101,2.676552,900,200
1.564522,2.678648,900,200
1.575939,2.675535,900,200
1.587360,2.684642,900,200
1.598782,2.672179,900,200
1.610199,2.695274,900,200
1.621620,2.687994,900,200
1.633041,2.684591,900,200
1.644463,2.674047,900,200
1.655880,2.681191,900,200
1.667301,2.678571,900,200
1.678722,2.690845,900,200
1.690140,2.672270,900,200
1.701561,2.687859,900,200
1.712982,2.677113,900,200
1.724400,2.687693,900,200
1.735821,2.687900,900,200
1.747242,2.682097,900,200
1.758659,2.677076,900,200
1.770081,2.695756,900,200
1.781502,2.679870,900,200
1.792919,2.667051,900,200
1.804340,2.690701,900,200
1.815762,2.681292,900,200
1.827179,2.691510,900,200
1.838600,2.679364,900,200
1.850021,2.681987,900,200
1.861443,2.668778,900,200
1.872860,2.681590,900,200
1.884281,2.684130,900,200
1.895702,2.688719,900,200
1.907120,2.688874,900,200
1.918541,2.672846,900,200
1.929962,2.696606,900,200
1.941380,2.665657,900,200
1.952801,2.664344,900,200
1.964222,2.668386,900,200
1.975639,2.677367,900,200
1.987061,2.678440,900,200
1.998482,2.666799,900,200
2.009899,2.668756,900,200
2.021320,2.682501,900,200
2.032742,2.674397,900,200
2.044159,2.686657,900,200
2.055580,2.690348,900,200
2.067001,2.677013,900,200
2.078423,2.679187,900,200
2.089840,2.677619,900,200
2.101261,2.682118,900,200
2.112682,2.682173,900,200
2.124100,2.689795,900,200
2.135521,2.684192,900,200
2.146942,2.659601,900,200
2.158360,2.667189,900,200
2.169781,2.665609,900,200
2.181202,2.661494,900,200
2.192619,2.658247,900,200
2.204041,2.670004,900,200
2.215462,2.680774,900,200
2.226879,2.666025,900,200
2.238300,2.668817,900,200
2.249722,2.678192,900,200
2.261139,2.680372,900,200
2.272560,2.673404,900,200
2.283981,2.693508,900,200
2.295403,2.678416,900,200
2.306820,2.677598,900,200
2.318241,2.682467,900,200
2.329662,2.689635,900,200
2.341080,2.673014,900,200
2.352501,2.667090,900,200
2.363922,2.663539,900,200
2.375340,2.681236,900,200
2.386761,2.663921,900,200
2.398182,2.677261,900,200
2.409599,2.666346,900,200
2.421021,2.683334,900,200
2.432442,2.650498,900,200
2.443859,2.692298,900,200
2.455280,2.679410,900,200
2.466702,2.689914,900,200
2.478119,2.684584,900,200
2.489540,2.684984,900,200
2.500961,2.684704,900,200
2.512383,2.679018,900,200
2.523800,2.686327,900,200
2.535221,2.680067,900,200
2.546642,2.675886,900,200
2.558060,2.659701,900,200
2.569481,2.674326,900,200
2.580902,2.656913,900,200
2.592319,2.666190,900,200
2.603741,2.667766,900,200
2.615162,2.681827,900,200
2.626579,2.674042,900,200
2.638000,2.675240,900,200
2.649422,2.671375,900,200
2.660839,2.676356,900,200
2.672260,2.679111,900,200
2.683681,2.692758,900,200
2.695103,2.675979,900,200
2.706520,2.679327,900,200
2.717941,2.676855,900,200
2.729362,2.675992,900,200
2.740780,2.669828,900,200
2.752201,2.687736,900,200
2.763622,2.683149,900,200
2.775040,2.679404,900,200
2.786461,2.689046,900,200
2.797882,2.684708,900,200
2.809299,2.667786,900,200
2.820721,2.687573,900,200
2.832142,2.672571,900,200
2.843559,2.692094,900,200
2.854980,2.692305,900,200
2.866402,2.679163,900,200
2.877819,2.685418,900,200
2.889240,2.677125,900,200
2.900661,2.676431,900,200
2.912083,2.688711,900,200
2.923500,2.682966,900,200
2.934921,2.680445,900,200
2.946342,2.687816,900,200
2.957760,2.687474,900,200
2.969181,2.674466,900,200
2.980602,2.664022,900,200
2.992020,2.677544,900,200
3.003441,2.671734,900,200
3.014862,2.670079,900,200
3.026279,2.676504,900,200
3.037701,2.673818,900,200
3.049122,2.663704,900,200
3.060539,2.676807,900,200
3.071960,2.677487,900,200
3.083382,2.676959,900,200
3.094799,2.686752,900,200
3.106220,2.696866,900,200
3.117641,2.680230,900,200
3.129063,2.691481,900,200
3.140480,2.674219,900,200
3.151901,2.690188,900,200
3.163322,2.672071,900,200
3.174740,2.702112,900,200
3.186161,2.674253,900,200
3.197582,2.683591,900,200
3.209000,2.669305,900,200
3.220421,2.686617,900,200
3.231842,2.682270,900,200
3.243259,2.696284,900,200
3.254681,2.685241,900,200
3.266102,2.675978,900,200
3.277519,2.689788,900,200
3.288940,2.669393,900,200
3.300362,2.673329,900,200
3.311779,2.682649,900,200
3.323200,2.697701,900,200
3.334621,2.675452,900,200
3.346043,2.688090,900,200
3.357460,2.676650,900,200
3.368881,2.667864,900,200
3.380302,2.672668,900,200
3.391720,2.658765,900,200
3.403141,2.675117,900,200
3.414562,2.661361,900,200
3.425980,2.680000,900,200
3.437401,2.677812,900,200
3.448822,2.652794,900,200
3.460239,2.673049,900,200
3.471661,2.684239,900,200
3.483082,2.695715,900,200
3.494499,2.676162,900,200
3.505920,2.685897,900,200
3.517342,2.681152,900,200
3.528759,2.682937,900,200
3.540180,2.671051,900,200
3.551601,2.689744,900,200
3.563023,2.677352,900,200
3.574440,2.672933,900,200
3.585861,2.663777,900,200
3.597282,2.672312,900,200
3.608700,2.666659,900,200
3.620121,2.670360,900,200
3.631542,2.661747,900,200
3.642960,2.675633,900,200
3.654381,2.660896,900,200
3.665802,2.677057,900,200
3.677219,2.678890,900,200
3.688641,2.675348,900,200
3.700062,2.666416,900,200
3.711479,2.691680,900,200
3.722900,2.677528,900,200
3.734322,2.690630,900,200
3.745739,2.689599,900,200
3.757160,2.678032,900,200
3.768581,2.665894,900,200
3.780003,2.687736,900,200
3.791420,2.677205,900,200
3.802841,2.677257,900,200
3.814262,2.690205,900,200
3.825680,2.676237,900,200
3.837101,2.687802,900,200
3.848522,2.668012,900,200
3.859940,2.680053,900,200
3.871361,2.674527,900,200
3.882782,2.687376,900,200
3.894199,2.670297,900,200
3.905621,2.677304,900,200
3.917042,2.679834,900,200
3.928459,2.695715,900,200
3.939880,2.681719,900,200
3.951302,2.690933,900,200
3.962719,2.679623,900,200
3.974140,2.693733,900,200
3.985561,2.679049,900,200
3.996983,2.680905,900,200
4.008400,2.663393,900,200
4.019821,2.684503,900,200
4.031242,2.691660,900,200
4.042660,2.692949,900,200
4.054081,2.677966,900,200
4.065502,2.686806,900,200
4.076920,2.668497,900,200
4.088341,2.676408,900,200
4.099762,2.682819,900,200
4.111179,2.681865,900,200
4.122601,2.672596,900,200
4.134022,2.689189,900,200
4.145439,2.677124,900,200
4.156860,2.682216,900,200
4.168282,2.675848,900,200
4.179699,2.690055,900,200
4.191120,2.681806,900,200
4.202541,2.682076,900,200
4.213963,2.680831,900,200
4.225380,2.682993,900,200
4.236801,2.686466,900,200
4.248222,2.687018,900,200
4.259640,2.682867,900,200
4.271061,2.686379,900,200
4.282482,2.676905,900,200
4.293900,2.696378,900,200
4.305321,2.679347,900,200
4.316742,2.678335,900,200
4.328159,2.688420,900,200
4.339581,2.690114,900,200
4.351002,2.682902,900,200
4.362419,2.677775,900,200
4.373840,2.669066,900,200
4.385262,2.683572,900,200
4.396679,2.662417,900,200
4.408100,2.673261,900,200
4.419521,2.678346,900,200
4.430943,2.668505,900,200
4.442360,2.670151,900,200
4.453781,2.675524,900,200
4.465202,2.667934,900,200
4.476620,2.666298,900,200
4.488041,2.679368,900,200
4.499462,2.677484,900,200
4.510880,2.684898,900,200
4.522301,2.687433,900,200
4.533722,2.690863,900,200
4.545139,2.691875,900,200
4.556561,2.672746,900,200
4.567982,2.675670,900,200
4.579399,2.670215,900,200
4.590820,2.676264,900,200
4.602242,2.687757,900,200
4.613659,2.669637,900,200
4.625080,2.663586,900,200
4.636501,2.655025,900,200
4.647923,2.676592,900,200
4.659340,2.676071,900,200
4.670761,2.679240,900,200
4.682182,2.660746,900,200
4.693600,2.667825,900,200
4.705021,2.676752,900,200
4.716442,2.686286,900,200
4.727859,2.674780,900,200
